"scenario","simple_difference","rebar_x1","rebar_y0hat","reloop_rf_po","reloop_rf_v12","reloop_rf_interp","true_tau","mean_DeltaY0","mean_DeltaY0_hat","mean_abs_DeltaX1","mean_abs_DeltaX2","mean_abs_DeltaX3","mean_abs_DeltaY0_hat","cor_DeltaY0hat_DeltaY0","cor_DeltaX1_DeltaY0","cor_DeltaX2_DeltaY0","cor_DeltaX3_DeltaY0","prop_unit1_treated","n_treated_full","n_control_full","treatment_rate_full","n_matched","n_pairs","n_remnant","n_remnant_controls","sim"
"opposite",-0.11444019885242,-0.628683919243403,0.06719860942569,0.0475645185997099,0.121369574449037,0.11776121856049,0,-0.11444019885242,-0.18163880827811,1.19413893917822,1.10011152741404,0.0674015933342196,0.485576473054912,0.38029145120856,-0.492896482132004,0.0339711594534789,-0.0344351409489764,0.496598639455782,147,853,0.147,294,147,706,706,7
"aligned",0.314183628923656,-0.350918109057262,-0.0207649316910174,-0.133841662044391,0.090374663100667,0.00648374790732209,0,0.314183628923656,0.334948560614673,1.1239915312588,1.22813900256063,0.0629482671756883,0.623570608610148,0.320849430565784,0.372510576917538,-0.0578977788075794,-0.0158021109074975,0.46195652173913,184,816,0.184,368,184,632,632,8
"unrelated",-0.0423205519127372,-0.503604903364726,0.00143357930977537,-0.0843475226556462,-0.0265064802286724,-0.0510237866281857,0,-0.0423205519127372,-0.0437541312225126,1.15199874767959,1.05297758582056,0.0591749216506554,0.59428720075021,0.322926451422068,0.0573576948858238,0.461621245539207,0.168107746374266,0.482558139534884,172,828,0.172,344,172,656,656,8
"opposite",-0.163047443279205,-0.539292871075226,-0.00312605230772587,-0.0307032762210128,-0.0458327772467929,-0.0403707470471069,0,-0.163047443279205,-0.159921390971479,1.28561195294496,1.16645818717198,0.101526102255073,0.587576794049699,0.342781039578141,-0.435519843854658,-0.00221798625652522,0.272617608050421,0.482352941176471,170,830,0.17,340,170,660,660,8
"aligned",0.207320472237778,-0.224631378480085,0.0626347200985238,-0.0511822883889598,0.0754953802604939,0.0519384074388303,0,0.207320472237778,0.144685752139254,1.04667913378363,1.05389961699037,0.024195466865012,0.424806461115073,0.196178456031405,0.352694173173392,-0.0546394055600861,0.010610075616811,0.470588235294118,170,830,0.17,340,170,660,660,9
"unrelated",0.171573218204715,-0.39158219758943,0.180970302717201,0.16436926270427,0.206099910985036,0.184668399546629,0,0.171573218204715,-0.00939708451248595,1.20199170438395,1.13357385926738,0.109208953375204,0.45796400552123,0.342641961334183,-0.0535296503664809,0.487340072849092,0.0643800328153356,0.518292682926829,164,836,0.164,328,164,672,672,9
"opposite",0.0217121514056761,-0.313497890406805,0.146735328761328,0.130461119244941,0.200854849700872,0.168186582818967,0,0.0217121514056761,-0.125023177355652,1.07858833007755,1.12366742426739,0.0311096873626678,0.580846414075771,0.337101783437466,-0.449792415265912,-0.0827753706827874,0.0567335586246739,0.53125,160,840,0.16,320,160,680,680,9
"aligned",0.511733462575972,-0.0841673649110652,0.348233252120595,0.144107415460846,0.227116379554619,0.206027646325783,0,0.511733462575972,0.163500210455376,1.24023018465891,1.1580967111064,0.144681697951342,0.494792700189921,0.474591932130256,0.528397484295878,-0.0597386160885894,0.130295266992099,0.473118279569892,186,814,0.186,372,186,628,628,10
"unrelated",-0.125098966474136,-0.540669854780244,-0.135922844095593,-0.1393330887271,-0.1620885593838,-0.152594435186884,0,-0.125098966474136,0.0108238776214567,1.06080870941893,1.09875194463248,0.0793414269338565,0.620823184282275,0.271226895479712,-0.0217170573050688,0.491747903038962,0.126366398677877,0.479768786127168,173,827,0.173,346,173,654,654,10
"opposite",-0.186870142606641,-0.888105681615873,0.125744489009634,-0.018487900982554,0.0676858325975275,0.0409967129398648,0,-0.186870142606641,-0.312614631616275,1.31054720765338,1.05866269999862,0.0400261696616147,0.637639302002296,0.276556899482894,-0.393843104251528,0.0241227425385688,0.0628212272237651,0.531791907514451,173,827,0.173,346,173,654,654,10
"aligned",0.400158379105847,-0.0928360898225156,0.220301102091684,0.102409942202959,0.172052344069591,0.148153205933024,0,0.400158379105847,0.179857277014163,1.13968183104197,1.06663235999546,0.105987242100625,0.480849406900807,0.271453537289306,0.455404084179196,0.054301625251331,0.127591230998912,0.605555555555556,180,820,0.18,360,180,640,640,11
"unrelated",-0.0605955477427004,-0.553666436121622,-0.0613347008767995,-0.0769563733295075,-0.0549823095652358,-0.0675408693303954,0,-0.0605955477427004,0.000739153134099154,1.31735083113295,1.16404598092108,0.109576803697056,0.597550790860938,0.322419115126409,0.0478439483868407,0.352159983682352,0.00182219648483315,0.461538461538462,156,844,0.156,312,156,688,688,11
"opposite",-0.148919455806891,-0.678282928423031,0.00570282361681719,0.103919560360134,0.0913110523175657,0.0922993402769439,0,-0.148919455806891,-0.154622279423708,1.13577440969239,1.10073340141079,0.0728185428115335,0.410182956929471,0.361764640584579,-0.535048746840608,0.0193860426911851,-0.0167940296730823,0.562162162162162,185,815,0.185,370,185,630,630,11
"aligned",0.521000061663844,-0.138806136437817,0.180925182448706,0.163358717271332,0.219027619243471,0.205903633746977,0,0.521000061663844,0.340074879215138,1.23023133078663,1.19470454404901,0.135739192998086,0.783244240061503,0.386705387783444,0.436337299063181,0.0997059493875077,0.277041645185487,0.487309644670051,197,803,0.197,394,197,606,606,12
"unrelated",-0.0647016972491721,-0.562464000805883,-0.0363455443579049,-0.131684058785257,-0.0241683783910095,-0.0820949617831306,0,-0.0647016972491721,-0.0283561528912672,1.14314741075948,1.08488607730799,0.0521656097360709,0.724843711478037,0.515877635648291,-0.00288614931684885,0.562055513137692,0.146264621965101,0.479289940828402,169,831,0.169,338,169,662,662,12
