"scenario","functional_form","matching_quality","simple_difference","rebar_y0hat","reloop_rf_po","reloop_rf_v12","reloop_rf_interp","cf_loop_p05","cf_ipw_rf","cf_aipw_rf","true_tau","mean_DeltaY0","mean_DeltaY0_hat","mean_DeltaX1","mean_DeltaX2","mean_DeltaX3","mean_abs_DeltaX1","mean_abs_DeltaX2","mean_abs_DeltaX3","mean_abs_DeltaY0_hat","cor_DeltaY0hat_DeltaY0","cor_DeltaX1_DeltaY0","cor_DeltaX2_DeltaY0","cor_DeltaX3_DeltaY0","prop_unit1_treated","mean_e_hat_cf","sd_e_hat_cf","n_treated_full","n_control_full","treatment_rate_full","n_matched","n_pairs","n_remnant","n_remnant_controls","sim"
"unrelated","linear","bad",0.106343931278497,0.165908929918942,0.0711913630392736,0.122819217792882,0.107630445186921,-0.0414031683245925,-0.61253868817535,-0.0705889629252126,0,0.106343931278497,-0.0595649986404448,0.599962196396981,-0.0564157776914016,0.160750236350017,1.15364977170027,1.08911698175989,0.161224398928165,0.472263566821816,0.288470459062567,0.0642568369237229,0.436446315706055,0.109111750992939,0.477551020408163,0.361496598639456,0.247865471740445,245,755,0.245,490,245,510,510,2
"unrelated","linear","good",0.185104458404532,0.215620586935581,0.156525306159069,0.188965458606891,0.183636589259118,0.0993016200605671,-0.950827930620802,-0.596572046527086,0,0.185104458404532,-0.0305161285310492,0.138119069226741,-0.0439328484588222,0.14106909269711,0.87906997276881,1.17214694979639,0.543530058841235,0.70371079160172,0.490374946612991,-0.374135471973228,0.420526402254321,0.447218609463709,0.511210762331839,0.336853512705531,0.236841555819843,223,777,0.223,446,223,554,554,2
"unrelated","nonlinear","bad",0.49180566693573,0.649027589937378,0.734308917690894,0.735004213535335,0.737683138485402,0.156076353745127,-0.861451726789346,-0.298940556423571,0,0.49180566693573,-0.157221923001647,0.927763100829597,0.0853545335583247,0.366998518577217,1.40158847129574,1.16756760357402,0.367664197124769,0.698984480875191,0.652753910398921,0.0245120944345516,0.681518797180389,0.15226406432568,0.444444444444444,0.408790849673203,0.309604557765668,306,694,0.306,612,306,388,388,2
"unrelated","nonlinear","good",0.431101211467921,0.245405798217138,0.10058950509654,0.164919284226699,0.141648514953378,0.0489051415694764,-2.78339572370978,-0.877429593955462,0,0.431101211467921,0.185695413250783,0.402893321269948,-0.0267806163934441,0.397054914968785,0.855857099298848,1.13764070714225,0.786669083346859,1.00597126902544,0.712534313087749,0.0428889955169419,0.602545820655714,0.397412415442714,0.524137931034483,0.387022988505747,0.28079995701393,290,710,0.29,580,290,420,420,2
"aligned","linear","bad",0.365247071185047,0.0776766186832647,0.108155529279715,0.169032730753546,0.137459579826074,0.042627128327501,-1.20715298012074,-0.559444538827239,0,0.365247071185047,0.287570452501782,0.583682215771187,0.127017623553973,0.150264327034116,1.15613537094229,1.09161995414186,0.150876034867653,0.727416408745803,0.385523283662594,0.469890609419275,0.008064872241574,0.124627803450698,0.48605577689243,0.360717131474104,0.239437073841058,251,749,0.251,502,251,498,498,3
"aligned","linear","good",0.396546995801204,0.368517282811607,0.342738073702037,0.400001693397062,0.38872241309416,0.186712868782218,-0.731580341399753,0.0631510122954776,0,0.396546995801204,0.0280297129895967,0.227251128300696,-0.0224460297766501,0.176293653876115,0.965171439194658,1.1606187232497,0.474686573694012,0.365606706231807,-0.0567507870767831,0.0368671824308587,0.0907496198225513,0.07099122971666,0.566801619433198,0.343414304993252,0.250008325689719,247,753,0.247,494,247,506,506,3
"aligned","nonlinear","bad",1.75207648977614,1.36671492485864,0.899767014433018,1.08494858027721,1.02105510894063,0.464595526415394,-1.73491098274723,-0.805674272377261,0,1.75207648977614,0.385361564917498,0.844552383261678,0.169106272584353,0.352586950946518,1.27107038056563,1.12128633084911,0.352966021838807,0.59411827806698,0.465228551105886,0.658220346257197,-0.127912802796824,0.453142857882144,0.458041958041958,0.403298368298368,0.306038022159432,286,714,0.286,572,286,428,428,3
"aligned","nonlinear","good",1.1334085056817,1.18878357153514,1.11085660950413,1.14200579438336,1.13898158125369,0.353497455299804,-0.82900001682893,-0.012066757759018,0,1.1334085056817,-0.0553750658534369,0.373734320143698,-0.0518499996115106,0.318569168558031,0.76491384667746,1.11485899249377,0.664806022355379,0.340142793288335,-0.0763219943123195,0.204041236344245,-0.0359715438332949,0.167190891275383,0.469964664310954,0.394187279151943,0.275826312090834,283,717,0.283,566,283,434,434,3
"opposite","linear","bad",-0.0486178379587219,0.111956829547707,0.291075667369129,0.13471651910839,0.165770089783589,0.160933495517541,-0.117954026978385,-0.0411248662379115,0,-0.0486178379587219,-0.160574667506429,0.58943002624809,0.0174505040179424,0.0381907746767682,1.1927708195893,1.13294298380482,0.0398447458116177,0.466862028775258,0.338845469032212,-0.49718927798804,0.139092895343749,-0.0660425501652804,0.47887323943662,0.299201877934272,0.228658696337673,213,787,0.213,426,213,574,574,3
"opposite","linear","good",0.164908199846812,0.168728216054595,0.204391698144592,0.151684059836406,0.160479000233185,0.0919377048960806,-0.0398279418295941,0.0942954883143015,0,0.164908199846812,-0.00382001620778312,0.119901489828313,0.0580408065003267,0.189301571423388,0.889467735468047,1.12786977177416,0.479914125618187,0.646315256960101,0.544376602428652,-0.629712836102924,0.0316678456998773,0.609613096060161,0.513513513513513,0.339504504504504,0.243163880781478,222,778,0.222,444,222,556,556,3
"opposite","nonlinear","bad",-1.01332169789354,-0.442702536973912,-0.237203178035667,-0.243039737448656,-0.243543627588302,-0.258407693373199,-0.968206440810218,0.0592893490045456,0,-1.01332169789354,-0.570619160919624,0.853425150957294,-0.0259053129385089,0.230222044997363,1.31150939346081,1.20225871028073,0.231085938380647,0.804799979822305,0.640793330038566,-0.66635038174054,0.0543493825940412,-0.308880652880462,0.48780487804878,0.39821718931475,0.30175830159847,287,713,0.287,574,287,426,426,3
"opposite","nonlinear","good",-0.499798544892825,-0.824619871405681,-0.572004515739712,-0.798529202107288,-0.74155949427334,-0.310888071565057,-1.69891691997743,-0.983600278042121,0,-0.499798544892825,0.324821326512856,0.370173001660727,-0.0774970894187687,0.411368781773781,0.720160528123318,1.13931231146986,0.779504262456368,0.968134406072648,0.633222838706755,-0.465187472281831,-0.0796673772940133,0.640912729149875,0.536764705882353,0.406911764705882,0.286941816173789,272,728,0.272,544,272,456,456,3
"unrelated","linear","bad",0.278078620936653,0.31485072374555,0.289199332797871,0.277755852211139,0.285909171381582,0.0103770024714759,-1.25181256087978,-0.779609431433623,0,0.278078620936653,-0.0367721028088963,0.595388259761603,-0.0706983706406907,0.300409664019251,1.19222284678303,1.12265123870802,0.30086138551783,0.627402795336739,0.302918641545756,0.168237259211915,0.393342031106542,0.141964069730585,0.522556390977444,0.374360902255639,0.269756558841602,266,734,0.266,532,266,468,468,3
"unrelated","linear","good",0.160610359215341,0.191441325812422,0.25306928578328,0.196580499901567,0.213157115895984,0.0419992389136703,-0.886891247553862,-0.65266579790762,0,0.160610359215341,-0.0308309665970813,0.189947039907577,-0.105207072943348,0.142171019058532,0.95083545654886,1.09146741985592,0.358128529464345,0.64210727801126,0.327922475128762,-0.301462915439909,0.390990416566313,0.355477411359093,0.506122448979592,0.357408163265306,0.236219599105617,245,755,0.245,490,245,510,510,3
"unrelated","nonlinear","bad",0.264763379532224,0.519347777674594,0.492266650684193,0.533956085892573,0.519224092275006,-0.0490264483458721,-2.55548738439935,-0.79379633011691,0,0.264763379532224,-0.254584398142369,1.00020831557007,0.0202875879065864,0.23871411775244,1.41763369237398,1.10833600448967,0.239604223092795,0.728478009344782,0.550586785475277,0.0164233073508243,0.682665089465866,0.132676324603934,0.487096774193548,0.394381720430108,0.305620058217436,310,690,0.31,620,310,380,380,3
"unrelated","nonlinear","good",0.266106462103334,0.0983408556767962,-0.0391336029658637,-0.00791608839252388,-0.0206182895162956,-0.12621807969881,-1.58731018923189,-0.264701484013225,0,0.266106462103334,0.167765606426538,0.549902578539943,-0.0203013361823666,0.433954740712049,0.921525890607809,1.07340653105827,0.751613985047029,0.784129344749795,0.721688891905614,-0.00439544060996536,0.577590843644279,0.430764626994051,0.520547945205479,0.419189497716895,0.303751321174668,292,708,0.292,584,292,416,416,3
"aligned","linear","bad",0.463376236147753,0.131686519943701,0.122511946914637,0.302226419846257,0.264057621767502,0.0561543658540101,-1.52039289278425,-0.392411234466039,0,0.463376236147753,0.331689716204052,0.57128045955194,-0.0294175040358599,0.145722470937245,1.18222473727377,1.20013438126638,0.146501731594399,0.638606239057499,0.380624992242235,0.437743632767848,0.0358311239502128,0.177409820324999,0.453441295546559,0.361693657219973,0.252875795307514,247,753,0.247,494,247,506,506,4
"aligned","linear","good",0.343786129936671,0.339784395235459,0.336557805904523,0.343872557081839,0.339100513665003,0.121078169045649,-1.14079485133484,-0.766083196309909,0,0.343786129936671,0.00400173470121288,0.241353702333205,0.109603244323916,0.170437872643612,0.922478283839316,1.15922878321167,0.467375823986201,0.286816765953206,0.0142452330361804,0.0887514140641107,0.010651066944542,0.0713213340565297,0.471311475409836,0.351079234972678,0.248720148292423,244,756,0.244,488,244,512,512,4
"aligned","nonlinear","bad",1.74325497662179,1.16356784552751,0.293686480947113,0.778383478699015,0.64577040182246,0.37824550731202,-1.3093415592217,-0.530622487748306,0,1.74325497662179,0.579687131094278,0.925547695339774,-0.145341002605932,0.325135882737017,1.3313465272953,1.15116922436191,0.327807568741673,0.818707975733739,0.637341817436101,0.729466449015188,-0.0908864948229512,0.54575188279842,0.480132450331126,0.407704194260486,0.310001916440628,302,698,0.302,604,302,396,396,4
"aligned","nonlinear","good",1.39207570202993,1.42747280640273,1.3776919268808,1.39809001172295,1.3933415109226,0.350697241998811,-0.9021047056516,-0.623264254426679,0,1.39207570202993,-0.0353971043728015,0.520269575780514,0.0524991962687394,0.498738935625206,0.881012491744332,1.11984599761624,0.872805011978365,0.427203736379247,-0.0610279392116477,0.0566341437116064,-0.0714193540429481,0.239201017314451,0.426116838487972,0.406386025200458,0.300931265563135,291,709,0.291,582,291,418,418,4
"opposite","linear","bad",-0.120236907391492,0.0922802947502918,0.0345137335439939,0.0301817849691972,0.0339060741264943,-0.024518064009176,-0.349412269179512,-0.337159126969867,0,-0.120236907391492,-0.212517202141784,0.579093979397604,-0.111697708725712,0.193673228360127,1.14176179503716,1.01491285928495,0.194264340325251,0.537113114732723,0.328920279293495,-0.423941412694831,-0.0311118712873413,5.44266948161527e-05,0.501960784313725,0.368549019607843,0.253843511580783,255,745,0.255,510,255,490,490,4
"opposite","linear","good",0.157250277562285,0.24656153595553,0.228669580344877,0.203763057881944,0.211752777931792,0.168286100400263,0.440665163633483,0.118894370597317,0,0.157250277562285,-0.0893112583932452,0.234362509190744,0.157447585220613,0.214114119250614,0.92606620244966,1.09354776133567,0.380926435877741,0.669478177628553,0.481503708657663,-0.545196178564969,-0.117845183701574,0.549175122949799,0.456896551724138,0.37010775862069,0.238220570981672,232,768,0.232,464,232,536,536,4
"opposite","nonlinear","bad",-1.26037898731641,-0.788819133608335,-0.52923198854945,-0.484921733472421,-0.502252484229687,-0.56823579764586,-1.6438079378883,-0.46285756840633,0,-1.26037898731641,-0.471559853708075,0.971094754534312,-0.0632177660277553,0.353797623066723,1.35539955203975,1.07156146315707,0.354630755271056,0.630105699042351,0.542903388261844,-0.648898333802379,-0.0712578919707491,-0.322513758444956,0.477351916376307,0.416655052264808,0.321130384020924,287,713,0.287,574,287,426,426,4
"opposite","nonlinear","good",-0.377807844794746,-0.450104194878098,-0.414821508241763,-0.465607495862153,-0.448816549085905,-0.116087472328167,-0.607842164893196,0.562555003261543,0,-0.377807844794746,0.0722963500833513,0.360990359050409,-0.0212187053469197,0.422863701819588,0.761922754597049,1.09361501712491,0.797426533182161,0.631311752876648,0.643774662492372,-0.350101447756717,-0.00678172981737055,0.604344948160013,0.534246575342466,0.397146118721461,0.273957434931322,292,708,0.292,584,292,416,416,4
"unrelated","linear","bad",0.0804502806340525,0.0394292789177462,-0.00312692271242478,0.0816480557292628,0.0539056492568678,-0.0185300935229334,-0.534676132581349,-0.300304992659217,0,0.0804502806340525,0.0410210017163063,0.59700461206818,0.0550622104274243,0.119436738386255,1.22405170708303,1.13506563218379,0.120453957647157,0.534933001096722,0.472126466432945,-0.0568204233450868,0.541529785364123,0.0303289035391263,0.555555555555556,0.356893004115226,0.227681011118207,243,757,0.243,486,243,514,514,4
"unrelated","linear","good",0.11446682080453,0.0505497311021694,0.0785136942756677,0.0716565058781838,0.0760345850335951,0.0456295046258277,-0.758445584670274,-0.249362162358099,0,0.11446682080453,0.0639170897023605,0.0814095916686397,0.0484329259998802,0.111450801625953,0.877208950809221,1.06720380184911,0.490127336360204,0.586578268336237,0.457205412034348,-0.273416282517425,0.348688688567268,0.345523279832631,0.48695652173913,0.332644927536232,0.222869285637633,230,770,0.23,460,230,540,540,4
"unrelated","nonlinear","bad",0.19640491020581,0.293605972617998,0.396102227262584,0.381867533142797,0.387952410096926,-0.191714396749917,-1.65185376570434,-0.645432820719576,0,0.19640491020581,-0.0972010624121887,0.913107027187472,0.039819100822821,0.269031318178555,1.37785905606818,1.11502322875193,0.269876746835624,0.640513138678191,0.593336270803338,0.100799323636133,0.672255742507074,0.217148385794925,0.533980582524272,0.400237324703344,0.295720264490062,309,691,0.309,618,309,382,382,4
"unrelated","nonlinear","good",0.572041264107953,0.408225557055831,0.272170019687016,0.248279845246,0.249780032192799,0.121825924559388,-0.461967038271897,-0.00766614802282537,0,0.572041264107953,0.163815707052121,0.391254441199572,0.0686134026334124,0.465067262069731,0.838636095052768,1.16765375404548,0.828785673936581,0.867414044824075,0.764816787900153,0.10767820171689,0.632199356280044,0.323793641177133,0.505660377358491,0.414553459119497,0.297305019995455,265,735,0.265,530,265,470,470,4
"aligned","linear","bad",0.219293440106512,0.0654769262464813,-0.0451015630906936,0.106166830695526,0.0603442534272618,-0.0389183416813297,-0.431406929343947,-0.24680191926159,0,0.219293440106512,0.15381651386003,0.422464447516099,0.0300853938885519,0.179393399753318,1.08417029632952,1.14668620931317,0.180025352125841,0.577622129153605,0.372892073874987,0.468613642191477,0.0690391233485759,0.0744542434768282,0.504098360655738,0.343531420765027,0.242847831067229,244,756,0.244,488,244,512,512,5
"aligned","linear","good",0.263367340111422,0.237038426817468,0.128444840986405,0.232292019073688,0.216905473977169,0.0145987638014138,-2.76818542802806,-1.49200077237798,0,0.263367340111422,0.0263289132939547,0.2157223253064,-0.0470898878984081,0.203154426808869,0.793356715683262,1.07106005394416,0.585262941778902,0.294204715187377,0.125837500237211,0.00553452785429017,0.0385884368307029,0.105082619882658,0.484848484848485,0.358066378066378,0.243763698741653,231,769,0.231,462,231,538,538,5
"aligned","nonlinear","bad",1.69052226757218,1.42646090491482,1.00702580329452,1.13297225589291,1.07823251160311,0.367723968226321,-2.44450605128374,-0.850417593762168,0,1.69052226757218,0.264061362657359,0.937421867257038,0.076114498722239,0.359997470550694,1.33517007467107,1.10962841299137,0.36061536993271,0.519577842555723,0.410314317669596,0.722649131289976,0.0215209596923645,0.514158227912029,0.488745980707395,0.42387459807074,0.310196049022967,311,689,0.311,622,311,378,378,5
"aligned","nonlinear","good",1.43469581898796,1.4200708490777,1.27592163266048,1.43704941806039,1.41465187073676,0.555023622872304,-1.01474584887212,-0.506662918046561,0,1.43469581898796,0.0146249699102573,0.431459497703583,-0.164821032816267,0.434180441160941,0.815766231404216,1.12467078334533,0.794108960442283,0.289286473733406,0.00115086762687506,0.189369406917953,-0.0852537115432645,0.413055131309899,0.491408934707904,0.399146620847652,0.285709915713679,291,709,0.291,582,291,418,418,5
"opposite","linear","bad",-0.118768905859869,0.0422952885876629,-0.0589120985262819,-0.0700375230879042,-0.0683603152213818,-0.0666661363489321,-1.12285076526748,-0.515782632061459,0,-0.118768905859869,-0.161064194447532,0.47854384251856,-0.0170883503885955,0.15676817742307,1.12502833332935,1.13524506669631,0.15744969247086,0.481573185638922,0.231723033311472,-0.342232443040005,0.0347890334553693,0.099463477269357,0.497991967871486,0.361967871485944,0.231464608153211,249,751,0.249,498,249,502,502,5
"opposite","linear","good",-0.00723009543349608,-0.0122088853641374,-0.0545167899312537,-0.0144637037065718,-0.0214875654828248,-0.0778550639471123,-0.590240498533418,-0.510176159444579,0,-0.00723009543349608,0.00497878993064131,0.166898822200195,-0.0535513426749151,0.166609091997793,0.806824596647007,1.16680963417537,0.48167612714825,0.690164746269322,0.543285825598753,-0.600249254181638,-0.076074650544381,0.585658623821265,0.461864406779661,0.356179378531073,0.225159790348542,236,764,0.236,472,236,528,528,5
"opposite","nonlinear","bad",-1.24814266796224,-0.63814987261878,-0.273426824550985,-0.422434784428892,-0.367051677316294,-0.447322424397358,-1.46660964797482,-0.452875146738267,0,-1.24814266796224,-0.609992795343464,1.08503855299532,0.0303896923389984,0.356794140007921,1.3619842236266,1.17756593386787,0.357400437016404,0.827770387340366,0.614941450032133,-0.676906182930829,0.0218782446344273,-0.216155170775542,0.472972972972973,0.425771396396396,0.32401000519578,296,704,0.296,592,296,408,408,5
